S.No.,Name of Project,Department,Principal Investigator/ Investigator/ Mentor /Main Contact Person,Co-PI/Other Investigator etc,Funding Agency,From,To,"Amount, Rs.",Status
26,"Analysis of the standards ISO/IEC 15944-8:2012 Business Operational view ? Part 8 Identification of privacy protection requirements as external constraints on business transactions, and their suitability for adoption as Indian Standards as per National Industrial Ecosystem",CSE,Dr. Kunwar Pal,"Dr. Lalatendu Behera, Dr. Prashant Kumar, Dr. Nisha Chaurasia",BIS,25-Feb,25-Aug,660000,Ongoing
27,Study of Mitigration Strategies for Coastal Hazards Specific to Indian Coastlines,,Dr Samayveer Singh,"Dr Aruna Malik, Dr Vijay Kumar, Dr K Senthil",BIS,24-Dec,25-Jun,338300,Ongoing
28,Study of general and functional requirements of high tech repetitive transcranial magnetic stimulator (RTMS) - MHD0160,CSE,Dr. Jagdeep Kaur,"Dr. Darwin, AIIMS, Jammu, Dr. Rajneesh Rani (NITJ), Dr. Shveta Mahajan",BIS,24-Oct,25-Sep,1000000,Ongoing
29,A light weight path-planning scheme for multi-UAVs based on gravitational potential field,CSE,Dr. Kunwarpal,-,SERB-DST,24-Feb,27-Feb,2134264,Ongoing
30,Jamming Signal Initiated drone tracking system based on passive radar principle,ECE,Dr Sukwinder Singh,Prof. Binod Kumar Kanaujia,Indian Army,25-Jan,25-Aug,6157000,Ongoing
31,Design and Development of Flexible Smart Textiles Integrated with Antenna for Wearable Applications,ECE,Dr. Binod Kumar Kanaujia,Dr Aijaz Mehdi Zaidi & Prof. Arunangshu Mukhopadhyay,NTTM,24-Oct,26-Jan,4994000,Ongoing
32,Monitoring and Surveillance System Design using Custom Plane,ECE,Dr Sukwinder Singh & Dr Manjeet Singh,,SwaYaan scheme,24-Apr,25-Apr,250000,Ongoing
33,Design of FinFET architectures for analog/RF and biomedical applications,ECE,Dr Balwinder Raj (Mentor),"Dr Suman Lata Tripathi, LPU Phagwara, Jalandhar",SERB,24-Jan,26-Jan,1830000,Ongoing
34,Frequency reconfigurable/multi-band RF passive circuits and load modulated balanced amplifier for 5G,ECE,Dr. Aijaz Mehdi Zaidi,-,DST-SERB,24-Jan,26-Jan,2204710,Ongoing
35,Design and development of Ultra-Low Power CMOS IC for wireless neural monitoring system,ECE,Dr. Sandeep (NITK),Dr. Ashutosh Kar,DST,23-Oct,26-Oct,4275000,Ongoing
